SourceImage,Relative X,Relative Y,Radius,Absolute X,Absolute Y,Luminance,Number of Pixels Detected,Rectangle Bounding Width,Rectangle Bounding Height,Rectangle Bounding Area
captureX16Y0P0016.jpg,1.392,0.832,0.136,15.164,1.392,70,629,21,34,714
captureX16Y0P0016.jpg,1.4,0.232,0.136,15.764,1.4,72,636,21,34,714
captureX16Y0P0016.jpg,2.024,3.288,0.12,12.712,2.024,62,543,20,31,620
captureX16Y0P0016.jpg,2.016,2.688,0.128,13.31075,2.02,66,583,20,33,660
captureX16Y0P0016.jpg,2.016,2.088,0.128,13.912,2.016,67,587,20,33,660
captureX16Y0P0016.jpg,2.024,1.488,0.128,14.512,2.028,67,560,20,31,620
captureX16Y0P0016.jpg,2.032,0.88,0.128,15.118875,2.032,63,582,20,33,660
captureX16Y0P0016.jpg,2.04,0.272,0.128,15.724,2.044,66,573,20,32,640
captureX16Y0P0016.jpg,2.64,3.328,0.112,12.668,2.644,48,424,17,28,476
captureX16Y0P0016.jpg,2.648,2.728,0.112,13.268,2.648,49,413,16,28,448
captureX16Y0P0016.jpg,2.648,2.128,0.112,13.872,2.652,46,439,17,29,493
captureX16Y0P0016.jpg,2.656,1.52,0.112,14.47466663,2.656,49,414,16,28,448
captureX16Y0P0016.jpg,2.664,0.912,0.112,15.08266669,2.664,47,410,16,28,448
captureX16Y0P0016.jpg,2.672,0.304,0.104,15.692,2.672,49,401,17,26,442
captureX16Y0P0016.jpg,3.28,3.352,0.128,12.644,3.284,69,554,19,32,608
captureX16Y0P0016.jpg,3.296,2.744,0.128,13.252,3.296,65,569,20,32,640
captureX16Y0P0016.jpg,3.288,2.152,0.128,13.848,3.292,68,589,20,33,660
captureX16Y0P0016.jpg,3.296,1.544,0.136,14.452,3.296,67,621,21,34,714
captureX16Y0P0016.jpg,3.304,0.936,0.136,15.06,3.308,68,609,20,34,680
captureX16Y0P0016.jpg,3.304,0.336,0.136,15.66,3.308,67,598,20,34,680
captureX16Y0P0016.jpg,3.92,3.36,0.112,12.64,3.924,56,451,17,29,493
captureX16Y0P0016.jpg,3.92,2.752,0.12,13.244,3.924,54,480,18,30,540
captureX16Y0P0016.jpg,3.928,2.152,0.12,13.844,3.932,60,488,18,30,540
captureX16Y0P0016.jpg,3.936,1.544,0.12,14.456,3.94,57,488,19,29,551
captureX16Y0P0016.jpg,3.936,0.944,0.112,15.05457141,3.94,57,476,18,29,522
captureX16Y0P0016.jpg,3.944,0.344,0.112,15.656,3.948,56,464,18,29,522
captureX16Y0P0016.jpg,4.56,3.312,0.096,12.68556519,4.56,35,330,15,24,360
captureX16Y0P0016.jpg,4.568,2.72,0.104,13.27456006,4.568,51,400,17,26,442
captureX16Y0P0016.jpg,4.568,2.112,0.112,13.884,4.568,51,435,17,28,476
captureX16Y0P0016.jpg,4.576,1.512,0.112,14.484,4.576,53,437,17,28,476
captureX16Y0P0016.jpg,4.576,0.904,0.112,15.09051849,4.58,58,441,17,28,476
captureX16Y0P0016.jpg,4.584,0.304,0.12,15.692,4.584,58,490,18,30,540
captureX16Y0P0016.jpg,5.192,3.376,0.112,12.624,5.196,50,439,17,29,493
captureX16Y0P0016.jpg,5.2,2.768,0.112,13.22666675,5.2,52,428,17,28,476
captureX16Y0P0016.jpg,5.2,2.168,0.112,13.832,5.204,52,446,17,29,493
captureX16Y0P0016.jpg,5.216,1.552,0.104,14.444,5.216,52,406,17,26,442
captureX16Y0P0016.jpg,5.216,0.96,0.112,15.04,5.216,52,444,17,29,493
captureX16Y0P0016.jpg,5.224,0.352,0.112,15.644,5.224,54,436,17,28,476
captureX16Y0P0016.jpg,5.84,3.32,0.12,12.676,5.84,61,508,19,30,570
captureX16Y0P0016.jpg,5.84,2.72,0.12,13.276,5.844,63,494,18,30,540
captureX16Y0P0016.jpg,5.848,2.12,0.12,13.876,5.848,61,512,19,30,570
