SubImage Number,Class Name,RelativeOriginX2Absolute,RelativeOriginY2Absolute,Ymin,Xmin,Ymax,Xmax,cX,cY
subImage_2,darkHole,0,746,0.6979614,0.6886223,0.7306148,0.7103051,183.572038,1267.799917
subImage_2,darkHole,0,746,0.38419098,0.14884545,0.42284924,0.1707672,103.7046676,865.2155192
subImage_2,darkHole,0,746,0.40102497,0.9339005,0.44235522,0.9555276,108.3743535,1450.756674
subImage_2,halfHole,0,746,0.3889527,0.19980977,0.42475963,0.22335605,104.5620342,903.8408538
subImage_2,halfHole,0,746,0.69323444,0.7396965,0.7779553,0.7649431,189.0478812,1307.23058
subImage_2,darkHole,0,746,0.83801085,0.1947606,0.8824091,0.21814194,221.0739627,900.0126507
subImage_2,darkHole,0,746,0.6947491,0.14981943,0.7305019,0.17175768,183.1447544,865.9482646
subImage_2,darkHole,0,746,0.38710934,0.34314635,0.431562,0.36810207,105.1992679,1011.295664
subImage_2,darkHole,0,746,0.54733753,0.7825957,0.5791802,0.8047149,144.7575261,1338.066858
subImage_2,darkHole,0,746,0.84698045,0.4896031,0.8842212,0.5114671,222.4594119,1119.399185
subImage_2,darkHole,0,746,0.70081705,0.7833572,0.7440634,0.8094868,185.6671347,1340.130816
subImage_2,darkHole,0,746,0.8500187,0.8816151,0.8831948,0.90134716,222.7179327,1411.044924
subImage_2,darkHole,0,746,0.7010769,0.9822946,0.74174,1,185.4019733,1485.395893
subImage_3,lightHole,0,1492,0.09910719,0.37741315,0.13604598,0.40004846,30.21718214,1781.993184
subImage_3,lightHole,0,1492,0.107142046,0.9658829,0.14275602,0.98773366,32.11190086,2220.698977
subImage_3,lightHole,0,1492,0.25743255,0.86815083,0.2976446,0.8916239,71.32741192,2148.39598
subImage_3,lightHole,0,1492,0.2625397,0.96737295,0.2985807,0.98705417,72.10397406,2221.001317
subImage_3,lightHole,0,1492,0.24737898,0.47399223,0.2861882,0.49833518,68.56338011,1854.678124
subImage_3,darkHole,0,1492,0.56022495,0.7630892,0.59973395,0.7914184,149.0547185,2071.831317
subImage_3,lightHole,0,1492,0.25250515,0.52334034,0.2940797,0.54597956,70.23615253,1890.856324
subImage_3,lightHole,0,1492,0.2547771,0.77177405,0.29031283,0.7930674,70.04405604,2075.685861
subImage_3,lightHole,0,1492,0.10315206,0.6221288,0.14371076,0.6472101,31.72187253,1965.463412
subImage_3,lightHole,0,1492,0.2476144,0.42584223,0.28721616,0.44819134,68.72572636,1818.014522
subImage_3,lightHole,0,1492,0.24861059,0.57253826,0.2892209,0.5954006,69.11134586,1927.641183
subImage_3,lightHole,0,1492,0.25394368,0.72090024,0.30167073,0.74320567,71.39645192,2038.111502
subImage_3,lightHole,0,1492,0.10069468,0.4748139,0.1429681,0.49847835,31.31066749,1855.038013
subImage_3,lightHole,0,1492,0.55767334,0.47210383,0.5953795,0.49387503,148.1672857,1852.310115
